iter	MultiClass	Accuracy
0	-3.675649687	0.1395348837
1	-3.664005143	0.2458471761
2	-3.655727996	0.1827242525
3	-3.64026552	0.2657807309
4	-3.628839559	0.292358804
5	-3.613976203	0.3122923588
6	-3.599379624	0.292358804
7	-3.586751219	0.3222591362
8	-3.569554801	0.3787375415
9	-3.55597636	0.4252491694
10	-3.543269988	0.4252491694
11	-3.531913671	0.415282392
12	-3.517319696	0.4219269103
13	-3.502814143	0.4352159468
14	-3.489648606	0.4485049834
15	-3.482625689	0.4518272425
16	-3.470069885	0.4817275748
17	-3.457117428	0.488372093
18	-3.447124915	0.4950166113
19	-3.430060752	0.4950166113
20	-3.413816353	0.5215946844
21	-3.404022479	0.5182724252
22	-3.387497722	0.5514950166
23	-3.379694348	0.5415282392
24	-3.366892186	0.5548172757
25	-3.359578192	0.5647840532
26	-3.351663186	0.5548172757
27	-3.342725549	0.5581395349
28	-3.328736467	0.5681063123
29	-3.317575478	0.5647840532
30	-3.308212837	0.5581395349
31	-3.296444742	0.5780730897
32	-3.285894976	0.584717608
33	-3.276537098	0.5913621262
34	-3.267053558	0.5913621262
35	-3.254677163	0.6013289037
36	-3.243719016	0.6013289037
37	-3.232568864	0.6013289037
38	-3.223973802	0.6112956811
39	-3.213735732	0.6112956811
40	-3.202606511	0.6112956811
41	-3.19176314	0.6079734219
42	-3.178983004	0.6112956811
43	-3.169679952	0.6212624585
44	-3.156546566	0.6179401993
45	-3.146575192	0.6146179402
46	-3.137627017	0.6146179402
47	-3.128054497	0.6212624585
48	-3.115528946	0.6112956811
49	-3.107837083	0.6312292359
50	-3.099019714	0.6312292359
51	-3.090569211	0.6212624585
52	-3.079782022	0.6378737542
53	-3.068816934	0.6279069767
54	-3.060731634	0.634551495
55	-3.052620204	0.6411960133
56	-3.041523624	0.634551495
57	-3.033301822	0.6378737542
58	-3.024476968	0.6478405316
59	-3.013083287	0.6511627907
60	-3.002274421	0.6511627907
61	-2.995990156	0.6445182724
62	-2.986871166	0.6544850498
63	-2.978186825	0.6544850498
64	-2.968958287	0.6544850498
65	-2.959188409	0.6611295681
66	-2.947655419	0.6611295681
67	-2.937463637	0.6644518272
68	-2.930025597	0.6677740864
69	-2.921650315	0.6644518272
70	-2.913832647	0.6544850498
71	-2.904424263	0.6611295681
72	-2.896483293	0.6644518272
73	-2.887927245	0.6677740864
74	-2.87873651	0.6710963455
75	-2.872154913	0.6744186047
76	-2.864460751	0.6710963455
77	-2.854053495	0.6710963455
78	-2.84320237	0.6677740864
79	-2.833102822	0.6677740864
80	-2.825264752	0.6644518272
81	-2.818039757	0.6710963455
82	-2.80986799	0.6677740864
83	-2.801707176	0.6710963455
84	-2.792615731	0.6843853821
85	-2.786808155	0.6843853821
86	-2.778035938	0.6877076412
87	-2.771088104	0.6943521595
88	-2.763003709	0.6910299003
89	-2.75455438	0.6877076412
90	-2.747939601	0.6877076412
91	-2.738127088	0.6843853821
92	-2.729953104	0.7009966777
93	-2.721325857	0.6943521595
94	-2.713156977	0.7043189369
95	-2.704054623	0.7142857143
96	-2.699510081	0.7142857143
97	-2.69222889	0.7176079734
98	-2.684262976	0.7109634551
99	-2.678567514	0.7142857143
100	-2.669653992	0.7176079734
101	-2.661705799	0.7176079734
102	-2.653891071	0.7209302326
103	-2.648644962	0.7142857143
104	-2.64168474	0.7176079734
105	-2.635523127	0.7142857143
106	-2.629653158	0.7142857143
107	-2.62191559	0.7142857143
108	-2.616168653	0.7209302326
109	-2.607782298	0.7176079734
110	-2.599008399	0.7209302326
111	-2.591434117	0.7142857143
112	-2.584459579	0.7209302326
113	-2.5762265	0.7242524917
114	-2.569632127	0.7209302326
115	-2.560851353	0.7242524917
116	-2.55368392	0.7242524917
117	-2.54561563	0.7209302326
118	-2.538093127	0.7342192691
119	-2.529842601	0.7375415282
120	-2.520786248	0.7408637874
121	-2.512636161	0.7408637874
122	-2.504538006	0.7408637874
123	-2.498135961	0.7441860465
124	-2.491346356	0.7408637874
125	-2.488889503	0.7408637874
126	-2.483038588	0.7408637874
127	-2.47703718	0.7441860465
128	-2.472157529	0.7475083056
129	-2.464813625	0.7475083056
130	-2.45961322	0.7541528239
131	-2.451978001	0.7475083056
132	-2.445110907	0.7541528239
133	-2.437618868	0.7541528239
134	-2.431516976	0.7541528239
135	-2.42458252	0.7574750831
136	-2.416420821	0.7607973422
137	-2.409215437	0.7607973422
138	-2.402058995	0.7641196013
139	-2.394056344	0.7674418605
140	-2.386998017	0.7707641196
141	-2.380549514	0.7707641196
142	-2.374186945	0.7707641196
143	-2.368585058	0.7707641196
144	-2.361163189	0.7707641196
145	-2.354638506	0.7774086379
146	-2.34854241	0.780730897
147	-2.343116512	0.780730897
148	-2.337035823	0.780730897
149	-2.329173889	0.7840531561
150	-2.321149679	0.780730897
151	-2.315536947	0.780730897
152	-2.30873531	0.780730897
153	-2.303410393	0.780730897
154	-2.296304783	0.7906976744
155	-2.290704075	0.7873754153
156	-2.284977093	0.7873754153
157	-2.278000883	0.7906976744
158	-2.273682171	0.7973421927
159	-2.266788704	0.7873754153
160	-2.259615751	0.7973421927
161	-2.255329109	0.8006644518
162	-2.248457322	0.803986711
163	-2.241427312	0.803986711
164	-2.236683241	0.803986711
165	-2.230774981	0.8006644518
166	-2.224184304	0.8073089701
167	-2.216216831	0.803986711
168	-2.209310501	0.8073089701
169	-2.203948809	0.8073089701
170	-2.199066972	0.8073089701
171	-2.194495312	0.8073089701
172	-2.187784444	0.8139534884
173	-2.181433288	0.8205980066
174	-2.174365066	0.8239202658
175	-2.168677018	0.8172757475
176	-2.162891594	0.8205980066
177	-2.156020731	0.8172757475
178	-2.151148353	0.8139534884
179	-2.144556561	0.8139534884
180	-2.138649556	0.8172757475
181	-2.132435347	0.8205980066
182	-2.127925644	0.8139534884
183	-2.121379735	0.8139534884
184	-2.115067446	0.8172757475
185	-2.109061531	0.8172757475
186	-2.101539632	0.8106312292
187	-2.09503997	0.8172757475
188	-2.087964468	0.8239202658
189	-2.080971901	0.8272425249
190	-2.072790757	0.8239202658
191	-2.066697963	0.8239202658
192	-2.061150239	0.8172757475
193	-2.056151857	0.8205980066
194	-2.05032037	0.8205980066
195	-2.042409774	0.8272425249
196	-2.036057099	0.8272425249
197	-2.029504804	0.8338870432
198	-2.023875941	0.8372093023
199	-2.017010507	0.8305647841
