iter	Passed	Remaining
0	77	15390
1	171	16988
2	204	13457
3	284	13963
4	364	14234
5	453	14669
6	530	14626
7	615	14783
8	713	15141
9	806	15323
10	879	15118
11	960	15043
12	1041	14979
13	1114	14805
14	1201	14812
15	1274	14658
16	1371	14762
17	1459	14757
18	1540	14670
19	1624	14623
20	1712	14598
21	1776	14371
22	1863	14338
23	1947	14281
24	2035	14249
25	2116	14161
26	2203	14116
27	2282	14018
28	2366	13952
29	2450	13887
30	2531	13802
31	2612	13713
32	2702	13677
33	2784	13594
34	2870	13532
35	2956	13468
36	3018	13299
37	3107	13245
38	3182	13136
39	3270	13080
40	3366	13054
41	3456	13004
42	3553	12973
43	3646	12929
44	3723	12825
45	3815	12771
46	3889	12660
47	3972	12580
48	4060	12513
49	4127	12382
50	4212	12306
51	4288	12205
52	4381	12152
53	4482	12119
54	4564	12034
55	4654	11969
56	4740	11894
57	4828	11822
58	4907	11728
59	4998	11662
60	5092	11603
61	5163	11491
62	5255	11428
63	5340	11349
64	5427	11271
65	5505	11176
66	5596	11109
67	5682	11029
68	5765	10946
69	5859	10882
70	5943	10798
71	6037	10732
72	6125	10657
73	6219	10589
74	6321	10536
75	6361	10379
76	6402	10227
77	6505	10174
78	6592	10097
79	6684	10026
80	6788	9973
81	6865	9880
82	6957	9807
83	7040	9723
84	7131	9648
85	7205	9551
86	7293	9473
87	7383	9397
88	7419	9253
89	7513	9183
90	7594	9097
91	7691	9029
92	7794	8967
93	7877	8882
94	7974	8814
95	8056	8728
96	8131	8634
97	8218	8553
98	8308	8476
99	8394	8394
100	8487	8318
101	8575	8239
102	8678	8172
103	8752	8078
104	8842	8000
105	8919	7909
106	9000	7822
107	9088	7742
108	9174	7659
109	9275	7588
110	9360	7505
111	9450	7425
112	9533	7339
113	9623	7259
114	9702	7171
115	9790	7089
116	9869	7001
117	9945	6911
118	10039	6833
119	10120	6746
120	10201	6660
121	10290	6578
122	10389	6503
123	10473	6419
124	10567	6340
125	10597	6223
126	10686	6142
127	10775	6061
128	10854	5974
129	10948	5895
130	11028	5808
131	11124	5730
132	11207	5646
133	11292	5561
134	11370	5474
135	11440	5383
136	11540	5306
137	11624	5222
138	11709	5138
139	11802	5058
140	11892	4976
141	11977	4892
142	12053	4804
143	12134	4719
144	12218	4634
145	12308	4552
146	12393	4468
147	12476	4383
148	12565	4301
149	12650	4216
150	12729	4130
151	12815	4046
152	12891	3960
153	12972	3874
154	13059	3791
155	13149	3708
156	13235	3624
157	13319	3540
158	13403	3456
159	13494	3373
160	13599	3294
161	13678	3208
162	13764	3124
163	13850	3040
164	13915	2951
165	14004	2868
166	14094	2785
167	14200	2704
168	14281	2619
169	14369	2535
170	14449	2450
171	14536	2366
172	14612	2280
173	14695	2195
174	14784	2112
175	14864	2026
176	14969	1945
177	15060	1861
178	15141	1776
179	15225	1691
180	15313	1607
181	15393	1522
182	15473	1437
183	15570	1353
184	15657	1269
185	15738	1184
186	15833	1100
187	15937	1017
188	16020	932
189	16112	848
190	16198	763
191	16295	678
192	16377	594
193	16461	509
194	16544	424
195	16630	339
196	16718	254
197	16816	169
198	16914	84
199	16999	0
